Tipo de empleo,Productos contratados,Propiedades inmobiliarias,Número de hijos,Estado civil,Ingresos,Concesión
laboral,1,2,5,casado,0,no conceder
parado,1,2,1,divorciado,23771,no conceder
laboral,1,3,1,viudo,73558,conceder
laboral,2,4,0,viudo,29194,estudiar
parado,0,4,1,soltero,88998,estudiar
jubilado,0,4,1,casado,0,no conceder
jubilado,1,2,1,soltero,71193,estudiar
parado,1,2,0,divorciado,,no conceder
funcionario,1,2,0,viudo,23743,conceder
funcionario,6,3,5,divorciado,39638,conceder
